"Id","Category","Name","Address","Lat","Long","subcategory","note","Opening","Closing","Creator","Created","Valid","Version","Source"
"knd0074","Scuola Materna","Scandellara","via  Scandellara, 56, Bologna BO, Italy","44.496405","11.382982","statale","(Ist. Comp. 7)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0075","Scuola Materna","Cantalamessa","via  dello Sport, 23-25, Bologna BO, Italy","44.492028","11.308149","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0076","Scuola Materna","Casaglia","via  Casaglia, 39, Bologna BO, Italy","44.476499","11.3072578","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0077","Scuola Materna","De Stefani","via  Dotti, 21, Bologna BO, Italy","44.486646","11.315649","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0078","Scuola Materna","Gobetti","via  Perti, 26, Bologna BO, Italy","44.491331","11.322608","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0079","Scuola Materna","Arco Guidi Pace","Piazza della Pace, 3 /3, Bologna BO, Italy","44.492998","11.311466","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0080","Scuola Materna","Arco Guidi Costa","via Andrea Costa 162, Bologna BO, Italy","44.493806","11.311814","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0081","Scuola Materna","Serra Anna Pl. 1 e Pl. 2","via  Ca' Selvatica, 11/3, Bologna BO, Italy","44.49296 ","11.333066","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0082","Scuola Materna","XXI Aprile","via  Onofri, 7, Bologna BO, Italy","44.49158 ","11.314505","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0083","Scuola Materna","Manzolini","via  S. Isaia, 20, Bologna BO, Italy","44.493607","11.333758","statale","(Direz. Didatt. 3)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
